Date,Open,Close,Volume,Percent Change
"Mar 06, 2023",13.08,12.98,"50,571,200",-0.7645259939
"Mar 03, 2023",12.72,13.08,"80,080,200",4.22310757
"Mar 02, 2023",12.38,12.55,"78,214,100",1.866883117
"Mar 01, 2023",12.35,12.32,"85,328,800",2.071251036
"Feb 28, 2023",12.07,12.07,"59,796,800",0.08291873964
"Feb 27, 2023",11.98,12.06,"60,378,100",1.515151515
"Feb 24, 2023",11.82,11.88,"50,631,600",-1.574150787
"Feb 23, 2023",12.32,12.07,"57,952,800",-1.146601147
"Feb 22, 2023",12.24,12.21,"52,844,700",0.08196721311
"Feb 21, 2023",12.72,12.2,"77,724,200",-5.352986811
"Feb 17, 2023",12.82,12.89,"54,401,000",-0.1549186677
"Feb 16, 2023",12.73,12.91,"64,145,500",-0.154679041
"Feb 15, 2023",12.75,12.93,"65,850,000",-0.3084040093
"Feb 14, 2023",12.99,12.97,"75,352,900",-0.9167303285
"Feb 13, 2023",12.71,13.09,"64,201,900",2.827965436
"Feb 10, 2023",12.84,12.73,"68,205,200",-5.633802817
"Feb 09, 2023",13.66,13.49,"78,667,100",0.521609538
"Feb 08, 2023",13.3,13.42,"62,028,400",-0.2230483271
"Feb 07, 2023",13.08,13.45,"70,671,100",2.359208524
"Feb 06, 2023",13.16,13.14,"77,262,800",-0.6802721088
"Feb 03, 2023",13.05,13.23,"165,500,200",-7.611731844
"Feb 02, 2023",14.17,14.32,"102,579,800",3.843364757
"Feb 01, 2023",13.52,13.79,"70,641,000",2.07253886
"Jan 31, 2023",13.39,13.51,"83,093,300",4.809930178
"Jan 30, 2023",13.01,12.89,"64,512,600",-2.86360211
"Jan 27, 2023",12.88,13.27,"62,114,600",2.708978328
"Jan 26, 2023",12.99,12.92,"48,970,900",1.016419077
"Jan 25, 2023",12.6,12.79,"37,739,000",0.3924646782
"Jan 24, 2023",12.68,12.74,"41,537,400",-0.46875
"Jan 23, 2023",12.48,12.8,"49,688,000",3.225806452
"Jan 20, 2023",12.21,12.4,"44,349,200",1.806239737
"Jan 19, 2023",12.29,12.18,"52,918,500",-1.853344077
"Jan 18, 2023",12.79,12.41,"48,774,400",-2.052091555
"Jan 17, 2023",12.71,12.67,"60,774,900",-0.393081761
"Jan 13, 2023",12.63,12.72,"96,444,000",-5.286671631
"Jan 12, 2023",13.27,13.43,"58,113,700",1.588502269
"Jan 11, 2023",12.93,13.22,"51,911,600",2.959501558
"Jan 10, 2023",12.68,12.84,"47,065,500",1.182033097
"Jan 09, 2023",12.74,12.69,"50,865,500",0.8744038156
"Jan 06, 2023",12.12,12.58,"53,089,100",2.693877551
"Jan 05, 2023",12.11,12.25,"50,785,600",1.998334721
"Jan 04, 2023",11.88,12.01,"53,429,700",2.825342466
"Jan 03, 2023",11.82,11.68,"45,809,000",0.4299226139
"Dec 30, 2022",11.4,11.63,"39,232,200",0.7798960139
"Dec 29, 2022",11.08,11.54,"53,550,300",5.388127854
"Dec 28, 2022",11.18,10.95,"49,375,400",-2.232142857
"Dec 27, 2022",11.28,11.2,"44,837,400",-1.408450704
"Dec 23, 2022",11.27,11.36,"38,200,700",0.442086649
"Dec 22, 2022",11.54,11.31,"75,158,700",-3.989813243
"Dec 21, 2022",11.61,11.78,"49,256,000",2.702702703
"Dec 20, 2022",11.65,11.47,"82,057,900",-1.881950385
"Dec 19, 2022",12.12,11.69,"88,062,500",-3.547854785
"Dec 16, 2022",12.77,12.12,"118,345,700",-6.983883346
"Dec 15, 2022",13.23,13.03,"55,725,300",-3.338278932
"Dec 14, 2022",13.57,13.48,"51,199,900",-0.6632277082
"Dec 13, 2022",13.78,13.57,"57,872,100",0.8172362556
"Dec 12, 2022",13.2,13.46,"35,473,800",2.124430956
"Dec 09, 2022",13.04,13.18,"41,553,600",0.4573170732
"Dec 08, 2022",13.2,13.12,"32,376,300",0.1526717557
"Dec 07, 2022",13.2,13.1,"36,609,800",-1.355421687
"Dec 06, 2022",13.42,13.28,"39,996,000",-0.7473841555
"Dec 05, 2022",13.75,13.38,"39,714,500",-3.463203463
"Dec 02, 2022",13.84,13.86,"42,417,400",-1.5625
"Dec 01, 2022",14.09,14.08,"45,335,100",1.294964029
"Nov 30, 2022",13.78,13.9,"61,537,300",1.090909091
"Nov 29, 2022",13.85,13.75,"28,380,800",0.1456664239
"Nov 28, 2022",13.94,13.73,"35,249,700",-2.485795455
"Nov 25, 2022",13.96,14.08,"12,980,900",0.3563791875
"Nov 23, 2022",14,14.03,"25,974,200",-0.2842928216
"Nov 22, 2022",14.05,14.07,"28,738,800",0.8602150538
"Nov 21, 2022",13.86,13.95,"34,087,100",-0.2859185132
"Nov 18, 2022",14.08,13.99,"37,101,900",0.5751258088
"Nov 17, 2022",13.66,13.91,"54,317,900",0.07194244604
"Nov 16, 2022",14.1,13.9,"47,484,200",-2.797202797
"Nov 15, 2022",14.29,14.3,"61,835,700",1.706970128
"Nov 14, 2022",14.23,14.06,"57,691,600",-3.034482759
"Nov 11, 2022",14.26,14.5,"60,187,600",2.256699577
"Nov 10, 2022",13.69,14.18,"75,638,500",6.536438768
"Nov 09, 2022",13.57,13.31,"74,199,200",-2.988338192
"Nov 08, 2022",13.78,13.72,"52,731,900",0.1459854015
"Nov 07, 2022",13.61,13.7,"48,176,900",1.406365655
"Nov 04, 2022",13.57,13.51,"61,489,100",1.885369532
"Nov 03, 2022",12.81,13.26,"58,782,600",1.531393568
"Nov 02, 2022",13.22,13.06,"73,673,500",-2.537313433
"Nov 01, 2022",13.57,13.4,"47,454,700",0.2243829469
"Oct 31, 2022",13.15,13.37,"54,676,700",0.8295625943
"Oct 28, 2022",13,13.26,"55,777,900",2
"Oct 27, 2022",12.77,13,"88,421,500",1.404056162
"Oct 26, 2022",12.8,12.82,"86,833,600",-0.07794232268
"Oct 25, 2022",12.58,12.83,"66,391,600",2.804487179
"Oct 24, 2022",12.3,12.48,"64,717,700",2.37899918
"Oct 21, 2022",11.74,12.19,"55,132,700",3.568394223
"Oct 20, 2022",12.13,11.77,"55,568,100",-2.96784831
"Oct 19, 2022",11.91,12.13,"54,130,000",0.8312551953
